,word,pronounciation,definition,part of speech,sentence_1_kanji,sentence_1_hiragana,sentence_1_english
90,読む,よむ,read,Verb,彼女は雑誌を読んでいます。,かのじょ は ざっし を よんで います。,She's reading a magazine.
91,次,つぎ,next,Noun,次はいつ会いましょうか。,つぎ は いつ あいましょう か。,When shall we meet again?
92,あなた,,you,Pronoun,これはあなたの鞄ですか。,これ は あなた の かばん です か。,Is this your bag?
93,飲む,のむ,drink,Verb,友達とお酒を飲んでいます。,ともだち と おさけ を のんで います。,I'm drinking sake with my friend.
94,古い,ふるい,old,Adjective,私は古い車が好きです。,わたし は ふるい くるま が すき です。,I like old cars.
95,質問,しつもん,question,Verbal Noun,質問のある方はどうぞ。,しつもん の ある かた は どうぞ。,Please feel free to ask any questions.
96,今日,きょう,today (colloquial),Noun,今日は仕事がありません。,きょう は しごと が ありません。,I don't have work today.
97,友達,ともだち,"friend, companion (colloquial)",Noun,私には友達がたくさんいます。,わたし に は ともだち が たくさん います。,I have a lot of friends.
98,早い,はやい,early,Adjective,まだ学校へ行くには早い時間です。,まだ がっこう へ いく に は はやい じかん です。,It's still too early to go to school.
99,どれ,,"what, which",Interrogative,この中でどれが好きですか。,この なか で どれ が すき です か。,Which of these do you like?
100,美しい,うつくしい,beautiful,Adjective,この絵は美しいです。,この え は うつくしい です。,This picture is beautiful.
101,いつも,,always (colloquial),Adverb,彼女はいつも元気だ。,かのじょ は いつも げんき だ。,She's always full of energy.
102,足,あし,"leg, foot",Noun,彼は足が長い。,かれ は あし が ながい。,He has long legs.
103,起こす,おこす,wake (someone) up,Verb,明日、6時に起こしてください。,あす 6 じ に おこして ください。,Please wake me up tomorrow at six o'clock.
104,見せる,みせる,show,Verb,その写真を見せてください。,その しゃしん を みせて ください。,Please show me those pictures.
105,娘,むすめ,"daughter, girl",Noun,私の娘はアメリカにいます。,わたし の むすめ は アメリカ に います。,My daughter is in the United States.
106,楽しむ,たのしむ,enjoy,Verb,今日は一人の時間を楽しみたい。,きょう は ひとり の じかん を たのしみたい。,Today I want to enjoy some time to myself.
107,色,いろ,color,Noun,すてきな色のセーターですね。,すてきな いろ の セーター です ね。,I like the color of your sweater.
108,みんな,,everybody (colloquial),Noun,みんなにお菓子をあげましょう。,みんな に おかし を あげましょう。,Let's give everyone some sweets.
109,取る,とる,"take, get",Verb,テストでいい点を取った。,テスト で いい てん を とった。,I got a good score on the test.
110,勉強,べんきょう,study,Verbal Noun,私は日本語を勉強しています。,わたし は にほん ご を べんきょう して います。,I'm studying Japanese.
111,できる,,"can do, be good at",Verb,彼女はイタリア語ができます。,かのじょ は イタリア ご が できます。,She can speak Italian.
112,短い,みじかい,"short, brief",Adjective,彼は足が短い。,かれ は あし が みじかい。,His legs are short.
113,落ちる,おちる,"fall, come down",Verb,猿も木から落ちる。,さる も き から おちる。,Even monkeys fall from trees.
114,息子,むすこ,son,Noun,うちの息子は大学1年生です。,うち の むすこ は だいがく 1 ねんせい です。,My son's a college freshman.
115,白い,しろい,"white, blank",Adjective,彼は歯が白い。,かれ は は が しろい。,His teeth are white.
116,飛行機,ひこうき,airplane,Noun,息子は飛行機のおもちゃが好きです。,むすこ は ひこうき の おもちゃ が すき です。,My son likes toy airplanes.
117,病気,びょうき,illness,Noun,祖父が病気になった。,そふ が びょうき に なった。,My grandfather got sick.
118,冬,ふゆ,winter,Noun,カナダの冬はとても寒いです。,カナダ の ふゆ は とても さむい です。,Canadian winters are very cold.
119,年,とし,"year, age",Noun,新しい年が始まりました。,あたらしい とし が はじまりました。,A new year has started.
120,重い,おもい,heavy,Adjective,このかばんは重いです。,この かばん は おもい です。,This bag is heavy.
121,胸,むね,"chest, breast",Noun,胸に少し痛みがあります。,むね に すこし いたみ が あります。,I have a slight pain in my chest.
122,払う,はらう,"pay (money, respect, attention, etc.)",Verb,私が払いましょう。,わたし が はらいましょう。,I'll pay for that.
123,軽い,かるい,"light (of weight, degree, etc.)",Adjective,この靴はとても軽い。,この くつ は とても かるい。,These shoes are very light.
124,見つける,みつける,find,Verb,新しい仕事を見つけました。,あたらしい しごと を みつけました。,I found a new job.
125,忘れる,わすれる,"forget, leave behind",Verb,約束を忘れないでください。,やくそく を わすれないで ください。,Please don't forget our promise.
126,酒,さけ,"alcohol, rice wine",Noun,彼女は酒に強い。,かのじょ は さけ に つよい。,She holds her liquor well.
127,どちら,,which (polite),Interrogative,肉と魚とどちらが好きですか。,にく と さかな と どちら が すき です か。,"Which do you prefer, meat or fish?"
128,姉,あね,(one's own) older sister,Noun,姉は大学生です。,あね は だいがくせい です。,My big sister's a college student.
129,覚える,おぼえる,"memorize, learn",Verb,妹は平仮名を全部覚えました。,いもうと は ひらがな を ぜんぶ おぼえました。,My little sister learned all hiragana.
130,狭い,せまい,"narrow, small",Adjective,私の部屋は狭いです。,わたし の へや は せまい です。,My room is small.
131,赤い,あかい,red,Adjective,赤いバラを買いました。,あかい バラ を かいました。,I bought a red rose.
132,着る,きる,"wear, put on",Verb,今日はスーツを着ています。,きょう は スーツ を きて います。,I'm wearing a suit today.
133,笑う,わらう,"laugh, smile",Verb,赤ん坊が笑っています。,あかんぼう が わらって います。,The baby is smiling.
134,一番,いちばん,"most, best",Adverb,彼はクラスで一番背が高い。,かれ は クラス で いちばん せ が たかい。,He's the tallest in class.
135,授業,じゅぎょう,"class session, lecture",Verbal Noun,今日は日本語の授業があります。,きょう は にほんご の じゅぎょう が あります。,We have a Japanese class today.
136,週,しゅう,week,Noun,その次の週は空いてますか。,その つぎ の しゅう は あいて ます か。,Will you be available the following week?
